business_status,delivery,dine_in,sub_city,city,province,phone_number,lat,lng,name,place_id,price_level,rating,url,user_rating
OPERATIONAL,FALSE,TRUE,Kecamatan Cileungsi,Bogor Kabupaten,Jawa Barat,0817-1788-1778,-6.3666415,106.96811,MIXUE,ChIJ-0NFZkmTaS4RAB4ZwZKicTU,0,4.5,https://maps.google.com/?cid=3851037907567058432,153
OPERATIONAL,FALSE,TRUE,Kecamatan Rajabasa,Kota Bandar Lampung,Sumatera Selatan,0821-7240-9407,-5.376038,105.24553,Mixue - Pagar Alam,ChIJ-4eIYZ3bQC4RX1BEbd9qgZg,0,4.8,https://maps.google.com/?cid=10989182073604165727,20
OPERATIONAL,TRUE,TRUE,Ngampilan,Kota Yogyakarta,Daerah Istimewa Yogyakarta,0812-5522-0818,-7.7973824,110.362045,Mixue Bhayangkara Yogyakarta,ChIJ-6seMSFXei4R9Tx46oU62wQ,0,5,https://maps.google.com/?cid=349937742890155253,10
OPERATIONAL,FALSE,FALSE,Kecamatan Mengwi,Kota Denpasar,Bali,0823-4046-6009,-8.6125765,115.1922,Mixue Cokrosempidi,ChIJ-6yiL_w_0i0RCjzKUkdH9s8,0,4.9,https://maps.google.com/?cid=14985243181779139594,56
OPERATIONAL,FALSE,TRUE,Kecamatan Grogol petamburan,Kota Jakarta Barat,Daerah Khusus Ibukota Jakarta,0,-6.1736703,106.78337,Mixue Tanjung Duren 1,ChIJ-7Nzaev3aS4R6KLrJbhpuU0,0,4.8,https://maps.google.com/?cid=5600623851243021032,18
OPERATIONAL,FALSE,TRUE,Kecamatan Batuceper,Kota Tangerang,Banten,0813-9845-5016,-6.171544,106.68307,Mixue Ice Cream & Tea Since 1997,ChIJ-bZjYaoBai4RPt-7cPeXjAg,0,4.6,https://maps.google.com/?cid=616034338046992190,141
OPERATIONAL,TRUE,TRUE,Kecamatan Tengah Tani,Kabupaten Cirebon,Jawa Barat,0895-3479-33232,-6.708567,108.522705,Mixue Plered,ChIJ-cD2nKXjbi4RznnxLJdwfk4,0,5,https://maps.google.com/?cid=5656081976620317134,6
OPERATIONAL,TRUE,TRUE,Kecamatan Gamping,Kabupaten Sleman,Daerah Istimewa Yogyakarta,0813-9348-5603,-7.7804003,110.34602,MIXUE GODEAN,ChIJ-dFirQtZei4R4YLY9IhNFBs,2,4.7,https://maps.google.com/?cid=1951269789176988385,232
OPERATIONAL,TRUE,TRUE,Kecamatan Serpong,Kota Tangerang Selatan,Banten,0,-6.300551,106.684456,Mixue Bsd Nusaloka,ChIJ-eZ4RUP7aS4RWaR8pn188fg,0,4.7,https://maps.google.com/?cid=17938255669899338841,212
OPERATIONAL,FALSE,TRUE,Kecamatan Waru,Kabupaten Sidoarjo,Jawa Timur,0858-0600-6805,-7.3540053,112.76616,Mixue Ice Cream & Tea - Tropodo,ChIJ-wCFx4rl1y0RulnSJDPHxxw,0,4.5,https://maps.google.com/?cid=2073845175902427578,313
OPERATIONAL,TRUE,TRUE,Kecamatan Buahbatu,Kota Bandung,Jawa Barat,0819-0800-0250,-6.943968,107.66326,MIXUE RANCABOLANG,ChIJ-xZkC4PpaC4RI35nXcbZkwg,0,3.7,https://maps.google.com/?cid=618077019873705507,11
OPERATIONAL,TRUE,TRUE,Kecamatan Rungkut,Kota Surabaya,Jawa Timur,0,-7.3319225,112.788124,MIXUE Ice Cream & Tea - UPN Rungkut Madya,ChIJ-YHypYz71y0RULXMBxlmbLw,0,4.4,https://maps.google.com/?cid=13577339234306274640,14
OPERATIONAL,FALSE,FALSE,Kecamatan Ngaglik,Kabupaten Sleman,Daerah Istimewa Yogyakarta,0812-2931-8686,-7.6951156,110.41823,Mixue Jakal near UII,ChIJ__kSbH9fei4RpXOM08rE6E4,0,5,https://maps.google.com/?cid=5686010904966886309,59
OPERATIONAL,TRUE,TRUE,Kecamatan Sumur Bandung,Kota Bandung,Jawa Barat,0,-6.918271,107.60937,MIXUE BRAGA,ChIJ__VIQ8znaC4RS2Wtf0KiGec,0,4.6,https://maps.google.com/?cid=16652519503672730955,24
OPERATIONAL,FALSE,TRUE,Kecamatan Genteng,Kabupaten Banyuwangi,Jawa Timur,0812-3511-0187,-8.36346,114.15275,Mixue Genteng Banyuwangi,ChIJ_2Kit9xV0S0R6GU8y4cvkZ0,0,4.6,https://maps.google.com/?cid=11353908395854554600,78
OPERATIONAL,FALSE,FALSE,Kota Baru,Jambi City,Jambi,0,-1.6220152,103.58693,MIXUE Jamtos Mall,ChIJ_7DYiAeJJS4R08a-07aH7Bg,0,0,https://maps.google.com/?cid=1795959570720278227,0
OPERATIONAL,TRUE,TRUE,Kecamatan Cilacap Selatan,Kabupaten Cilacap,Jawa Tengah,0813-7415-3885,-7.7317157,109.00958,MIXUE Ahmad Yani Cilacap,ChIJ_8789mYTZS4RIkPCjhFvf8M,0,4.7,https://maps.google.com/?cid=14087100280638423842,27
OPERATIONAL,FALSE,FALSE,Kecamatan Kesambi,Kota Cirebon,Jawa Barat,0895-3479-33234,-6.72871,108.558174,Mixue Kesambi,ChIJ_9NybmAdby4RYnsHR8SwzOM,0,5,https://maps.google.com/?cid=16414689098910366562,1
OPERATIONAL,FALSE,FALSE,Wirobrajan,Kota Yogyakarta,Daerah Istimewa Yogyakarta,0818-824-387,-7.806289,110.35041,Mixue Wirobrajan,ChIJ_e1Dv5dXei4RyCfIuu_jmLA,0,0,https://maps.google.com/?cid=12725171365905704904,0
OPERATIONAL,FALSE,TRUE,Kecamatan Candisari,Kota Semarang,Jawa Tengah,0,-7.01944,110.4253,MIXUE WAHIDIN,ChIJ_TFnLYaLcC4R-EKTclvrrSI,0,4.5,https://maps.google.com/?cid=2498912146257298168,14
OPERATIONAL,FALSE,TRUE,Kecamatan Semarang Barat,Kota Semarang,Jawa Tengah,(024) 76332608,-7.0030146,110.39531,Mixue Simongan,ChIJ_TRJuDmLcC4R1Ni0cgE4srQ,0,4.7,https://maps.google.com/?cid=13020531051552102612,11
OPERATIONAL,TRUE,TRUE,Kecamatan Pasar Kliwon,Kota Surakarta,Jawa Tengah,0813-2831-3443,-7.5781965,110.82194,MIXUE Notosuman,ChIJ_UdOYO0Xei4RdW-J79z4Cc8,0,4.5,https://maps.google.com/?cid=14918728868436733813,24
OPERATIONAL,FALSE,FALSE,Kecamatan Kota Baru,Kota Jambi,Jambi,0,-1.6342361,103.61344,Mixue kotabaru,ChIJ_XIkUT6HJS4ReHXV6dyB3wE,0,5,https://maps.google.com/?cid=134969299660273016,58
OPERATIONAL,TRUE,TRUE,Kecamatan Dramaga,Kabupaten Bogor,Jawa Barat,0851-5672-9328,-6.568247,106.738075,Mixue Dramaga,ChIJ00Hv1c3FaS4RAv8lU0ZHsnY,0,4.7,https://maps.google.com/?cid=8552977009698275074,116
OPERATIONAL,TRUE,TRUE,Kecamatan Tembalang,Kota Semarang,Jawa Tengah,0,-7.0243344,110.46645,Mixue Kedung Mundu,ChIJ08nNTlONcC4RKp49be0XmFU,2,4.7,https://maps.google.com/?cid=6167705998191337002,215
OPERATIONAL,FALSE,TRUE,Kecamatan Purworejo,Kabupaten Purworejo,Jawa Tengah,0895-3455-19696,-7.708215,110.019966,Mixue Purworejo,ChIJ0fm9oxzrei4RWiQ9QkM7cXQ,0,4.3,https://maps.google.com/?cid=8390552740828095578,64
OPERATIONAL,TRUE,TRUE,Kecamatan Denpasar Timur,Kota Denpasar,Bali,0821-4466-6197,-8.642418,115.25023,Mixue Tohpati,ChIJ0RfKVsM_0i0RAvF4mLQoz0w,0,4.6,https://maps.google.com/?cid=5534687223178916098,54
OPERATIONAL,TRUE,TRUE,Not Provided,Not Provided,Not Provided,0812-1234-1735,-6.0916605,106.74026,Mixue Cove PIK,ChIJ0VVsMkwdai4RdrkFDrhdJbo,0,4.7,https://maps.google.com/?cid=13413230110283512182,401
OPERATIONAL,TRUE,TRUE,Kecamatan Pancoran Mas,Kota Depok,Jawa Barat,0812-1206-6215,-6.394002,106.79063,Mixue Sawangan,ChIJ0WjnsZbpaS4Ro52RBaw-iG8,0,4.6,https://maps.google.com/?cid=8036742443591376291,298
OPERATIONAL,FALSE,FALSE,Kecamatan Banyumas,Kabupaten Banyumas,Jawa Tengah,0,-7.441904,109.22885,Mixue Gerilya,ChIJ0xyQxsNdZS4RJfOvKAz5hao,0,4.7,https://maps.google.com/?cid=12287500988967809829,21
OPERATIONAL,FALSE,TRUE,Kecamatan Blimbing,Kota Malang,Jawa Timur,0813-3301-3135,-7.96066,112.65005,Mixue Sulfat,ChIJ0zXulg8p1i0R3KKOYQQWlng,0,4.5,https://maps.google.com/?cid=8689156739130368732,22
OPERATIONAL,TRUE,TRUE,Kecamatan Astanaanyar,Kota Bandung,Jawa Barat,0821-2149-9168,-6.9439793,107.607185,MIXUE Kurdi,ChIJ1-IBUTvpaC4Rkpakt_fF0Og,0,4.8,https://maps.google.com/?cid=16776126279683708562,158
OPERATIONAL,FALSE,FALSE,Kecamatan Danurejan,Kota Yogyakarta,Daerah Istimewa Yogyakarta,0851-0302-1184,-7.7940288,110.373085,Mixue Lempuyangan,ChIJ10-kQ_NZei4Ry3e77aThZS4,0,3,https://maps.google.com/?cid=3343326396871833547,4
OPERATIONAL,FALSE,TRUE,Kecamatan Gianyar,Kabupaten Gianyar,Bali,0852-3865-2833,-8.541192,115.316956,Mixue Gianyar,ChIJ11pVIUgX0i0RVO6wcuy0xWU,0,4.4,https://maps.google.com/?cid=7333466495872200276,67
OPERATIONAL,FALSE,TRUE,Kecamatan Klungkung,Kabupaten Klungkung,Bali,0813-4899-3888,-8.535964,115.40603,Mixue Klungkung,ChIJ16s3YBQR0i0RMqZm2cXNXn8,0,4.5,https://maps.google.com/?cid=9177999340267284018,57
OPERATIONAL,FALSE,TRUE,Kecamatan Arcamanik,Kota Bandung,Jawa Barat,0878-9150-5958,-6.9185247,107.67475,MIXUE ARCAMANIK ENDAH,ChIJ18iBD-7daC4RhR6WPLb2g8M,0,4.6,https://maps.google.com/?cid=14088375321905995397,77
OPERATIONAL,TRUE,TRUE,Kecamatan Kalideres,Kota Jakarta Barat,Daerah Khusus Ibukota Jakarta,0812-2299-9864,-6.1514897,106.71518,Mixue Daan Mogot,ChIJ1cLxsV75aS4R_ICjJqYshYM,0,4.7,https://maps.google.com/?cid=9477030082995519740,131
OPERATIONAL,FALSE,FALSE,Kecamatan Semarang Selatan,Kota Semarang,Jawa Tengah,0,-7.0095267,110.44224,Mixue,ChIJ1eBtdkGNcC4RBIsUmYhiw4o,0,4.4,https://maps.google.com/?cid=9998943936515967748,7
OPERATIONAL,FALSE,TRUE,Kecamatan Lemahwungkuk,Kota Cirebon,Jawa Barat,0877-7031-0909,-6.7243237,108.57114,MIXUE KASEPUHAN - CIREBON,ChIJ1eJtANnjbi4RXwPMZGKhvy0,0,4.6,https://maps.google.com/?cid=3296530896228451167,28
OPERATIONAL,FALSE,FALSE,Cihampelas,West Bandung Regency,West Java,0,-6.9360256,107.50409,Mixue,ChIJ1VhhOIvvaC4RCHJjkhjjNoA,0,5,https://maps.google.com/?cid=9238821380271862280,1
OPERATIONAL,FALSE,TRUE,Kecamatan Banyumanik,Kota Semarang,Jawa Tengah,0857-0052-3720,-7.0666666,110.4302,Mixue Durian,ChIJ2-oGgymPcC4RXBGTVhLuJIE,0,4.8,https://maps.google.com/?cid=9305824492583588188,52
OPERATIONAL,FALSE,TRUE,Kecamatan Payung Sekaki,Kota Pekanbaru,Riau,0812-7600-8080,0.5352914,101.425896,Mixue RIAU,ChIJ23alG8Or1TERnpcvljYfan4,0,4.5,https://maps.google.com/?cid=9109127515618645918,95
OPERATIONAL,FALSE,TRUE,Kecamatan Metro Timur,Kota Metro,Lampung,0856-0927-1523,-5.118821,105.318634,Mixue Metro A.Yani,ChIJ23IWzj29QC4RD6xGQgHYNlA,0,5,https://maps.google.com/?cid=5780044671695105039,3
OPERATIONAL,FALSE,FALSE,Kecamatan Plumbon,Kabupaten Cirebon,Jawa Barat,0811-953-331,-6.7004385,108.48165,Mixue Plumbon Cirebon,ChIJ27jYbGjhbi4RbKccP-2B7kE,0,0,https://maps.google.com/?cid=4750877512888526700,0
OPERATIONAL,FALSE,FALSE,Sumber,Cirebon,West Java,0823-2140-5155,-6.7588058,108.49141,MIXUE KEMANTREN,ChIJ29wuma0fby4R0uNfZvId7Q4,0,4.7,https://maps.google.com/?cid=1075548812948267986,28
